Source,Target,Interaction
CREB1B,LOC103026652,?
CREB1B,LOC103031022,?
CREB1B,LOC103032848,?
CREB1B,LOC103034286,?
CREB1B,LOC103036160,?
CREB1B,LOC103038449,+
CREB1B,PPP2R2D,+
CREB1B,LOC103039568,?
CREB1B,PRL2,?
CREB1B,MC2R,+
CREB1B,MIF,+
CREB1B,MITFB,+
CREB1B,MMP2,?
CREB1B,NDC80,+
CREB1B,NF1A,?
CREB1B,NF1A,?
CREB1B,NMNAT2,?
CREB1B,NOCTA,+
CREB1B,NPY,?
CREB1B,NR2F1A,-
CREB1B,NR2F6B,-
CREB1B,NR4A3,?
CREB1B,NR5A1A,+
CREB1B,NRF1,?
CREB1B,NTS,?
CREB1B,ODC1,?
CREB1B,PCSK1,+
CREB1B,PDE3B,?
CREB1B,PENKB,?
CREB1B,PLAUB,?
CREB1B,POLD2,?
CREB1B,PPARGC1A,?
CREB1B,PPM1DB,?
CREB1B,PPP2CB,+
CREB1B,PPP2CB,+
CREB1B,PPP2CB,+
CREB1B,LOC103039288,+
CREB1B,PRL2,?
CREB1B,PSEN1,+
CREB1B,PTGES,?
CREB1B,PTGS2B,+
CREB1B,SI:CH73-22O12.1,?
CREB1B,REN,+
CREB1B,SI:CH73-22O12.1,?
CREB1B,SLC19A1,?
CREB1B,SLC20A1B,+
CREB1B,SLC22A6L,?
CREB1B,LOC103025837,?
CREB1B,SMAD6B,+
CREB1B,SNAI1B,-
CREB1B,SNAI2,-
CREB1B,TH2,?
CREB1B,TLR9,?
CREB1B,UXT,+
CREB1B,VIPB,?
CREB1B,XPC,?
CREB1B,ACACA,+
CREB1B,ACSL4A,?
CREB1B,BCL2B,+
CREB1B,BCL2B,+
CREB1B,BCL2L11,?
CREB1B,BDKRB1,?
CREB1B,BDNF,+
CREB1B,CASP8,+
CREB1B,CCKB,?
CREB1B,LOC103038449,+
CREB1B,CFTR,?
CREB1B,CGA,?
CREB1B,CLDN11B,?
CREB1B,CLDN11B,?
CREB1B,CRTC1B,?
CREB1B,CXCR4B,?
CREB1B,ENTPD1,+
CREB1B,ERBB2,?
CREB1B,ESR1,?
CREB1B,FLT1,?
CREB1B,FOSAB,?
CREB1B,FOXA1,?
CREB1B,GABPA,?
CREB1B,GRPR,+
CREB1B,GSK3AB,?
CREB1B,GSK3AB,?
CREB1B,HSPA5,+
CREB1B,IL10,+
CREB1B,JUND,-
CREB1B,LAPTM4B,?
CREB1B,LDHA,?
CREB1B,LOC103021835,?
CREB1B,LOC103023525,?
CREB1B,LOC103025837,?
CREB1B,LOC103026652,?
CREB1B,LOC103031022,?
CREB1B,LOC103032848,?
CREB1B,LOC103034286,?
CREB1B,LOC103036160,?
CREB1B,LOC103038449,+
CREB1B,PPP2R2D,+
CREB1B,LOC103039568,?
CREB1B,PRL2,?
CREB1B,MC2R,+
CREB1B,MIF,+
CREB1B,MITFB,+
CREB1B,MMP2,?
CREB1B,NDC80,+
CREB1B,NF1A,?
CREB1B,NF1A,?
CREB1B,NMNAT2,?
CREB1B,NOCTA,+
CREB1B,NPY,?
CREB1B,NR2F1A,-
CREB1B,NR2F6B,-
CREB1B,NR4A3,?
CREB1B,NR5A1A,+
CREB1B,NRF1,?
CREB1B,NTS,?
CREB1B,ODC1,?
CREB1B,PCSK1,+
CREB1B,PDE3B,?
CREB1B,PENKB,?
CREB1B,PLAUB,?
CREB1B,POLD2,?
CREB1B,PPARGC1A,?
CREB1B,PPM1DB,?
CREB1B,PPP2CB,+
CREB1B,PPP2CB,+
CREB1B,PPP2CB,+
CREB1B,LOC103039288,+
CREB1B,PRL2,?
CREB1B,PSEN1,+
CREB1B,PTGES,?
CREB1B,PTGS2B,+
CREB1B,SI:CH73-22O12.1,?
CREB1B,REN,+
CREB1B,SI:CH73-22O12.1,?
CREB1B,SLC19A1,?
CREB1B,SLC20A1B,+
CREB1B,SLC22A6L,?
CREB1B,LOC103025837,?
CREB1B,SMAD6B,+
CREB1B,SNAI1B,-
CREB1B,SNAI2,-
CREB1B,TH2,?
CREB1B,TLR9,?
CREB1B,UXT,+
CREB1B,VIPB,?
CREB1B,XPC,?
CREB3L4,DNAJC12,?
CREB3L4,EDEM1,+
CREB5B,ATP6V0E1,+
CREB5B,LOC103028209,-
CREB5B,LOC103031342,-
CREB5B,SI:CH1073-280E3.1,+
CREB5B,MAPKAPK2A,+
CREB5B,RASGRP3,-
CREB5B,SI:CH1073-280E3.1,+
CREB5B,TGFBR3,+
CREBBPA,CCKB,?
CREBBPA,CDKN1D,+
CREBBPA,CDKN1D,+
CREBBPA,CREB1B,+
CREBBPA,CREB1B,+
CREBBPA,EGFRA,?
CREBBPA,EP300A,?
CREBBPA,HOXA10B,+
CREBBPA,INSM1A,+
CREBBPA,IRF1B,+
CREBBPA,LOC103023101,?
CREBBPA,LOC103033142,+
CREBBPA,PCK2,?
CREBBPA,PPARAB,?
CREBBPA,PSMC5,+
CREBBPA,PTGS2B,?
CREBBPA,RAD51,?
CREBBPA,RARAB,?
